time,lat,lng,demand
"07:00",22.638,120.303,1
"07:00",24.109,120.623,1
"07:00",24.967,121.269,1
"07:00",23.005,120.178,1
"07:00",25.08,121.583,1
"07:00",24.155,120.646,1
"07:00",25.059,121.526,1
"07:00",25.125,121.382,1
"07:00",24.138,120.693,1
"07:00",25.102,121.525,1
"07:00",22.629,120.295,1
"07:00",25.112,121.528,1
"07:00",24.799,120.97,1
"07:00",22.705,120.294,1
"07:00",24.953,121.241,1
"07:00",24.092,120.694,1
"07:00",25.06,121.293,1
"07:00",24.975,121.753,1
"07:00",25.079,121.572,1
"07:00",24.074,120.546,1
"07:00",25.005,121.319,1
"07:00",24.931,121.289,1
"07:00",22.975,120.223,1
"07:00",24.946,121.296,1
"07:00",25.055,121.29,1
"07:00",22.628,120.305,1
"07:00",24.818,121.024,1
"07:00",25.057,121.296,1
"07:00",24.149,120.718,1
"07:00",25.002,121.523,1
"07:00",24.819,121.024,1
"07:00",25.114,121.529,1
"07:00",25.042,121.293,1
"07:00",25.063,121.586,1
"07:00",25,121.492,1
"07:00",25.113,121.526,1
"07:00",24.919,121.18,1
"07:00",24.926,121.283,1
"07:00",25.063,121.63,1
"07:00",25.005,121.202,1
"07:00",25.042,121.581,1
"07:00",25.037,121.291,1
"07:00",25.056,121.287,1
"07:00",25.084,121.524,1
"07:00",25.093,121.521,1
"07:00",24.172,120.682,1
"07:00",25.086,121.523,1
"07:00",25.025,121.53,1
"07:00",25.003,121.443,1
"07:00",25.049,121.434,1
"07:00",25,121.427,1
"07:00",25.009,121.462,1
"07:00",25.067,121.592,1
"07:00",25.046,121.393,1
"07:00",24.944,121.375,1
"07:00",24.144,120.665,1
"07:00",24.957,121.24,1
"07:00",25.05,121.52,1
"07:00",25.068,121.366,1
"07:00",25.037,121.385,1
"07:00",22.919,120.22,1
"07:00",25.113,121.53,1
"07:00",24.97,121.333,1
"07:00",24.179,120.687,1
"07:00",24.949,121.246,1
"07:00",22.664,120.32,1
"07:00",24.952,121.243,1
"07:00",24.994,121.54,1
"07:00",22.565,120.348,1
"07:00",24.984,121.461,1
"07:00",24.914,121.147,1
"07:00",24.959,121.536,1
"07:00",25.024,121.302,1
"07:00",25.044,121.298,1
"07:00",25.05,121.288,1
"07:00",24.954,121.502,1
"07:00",25.055,121.617,1
"07:00",25.04,121.556,1
"07:00",25.096,121.52,1
"07:00",25.072,121.579,1
"07:00",25.023,121.415,1
"07:00",24.948,121.38,1
"07:00",25.011,121.215,1
"07:00",24.676,121.772,1
"07:00",22.639,120.295,1
"07:00",25.039,121.573,1
"07:00",25.168,121.447,1
"07:00",25.026,121.515,1
"07:00",25.128,121.498,1
"07:00",25.128,121.748,1
"07:00",25.092,121.518,1
"07:00",24.972,121.336,1
"07:00",24.754,121.055,1
"07:00",24.999,121.341,1
"07:00",25.005,121.442,1
"07:00",22.665,120.304,1
"07:00",24.063,120.682,1
"07:00",23.004,120.18,1
"07:00",22.983,120.229,1
"07:00",25.087,121.435,1
"07:00",22.64,120.297,1
"07:00",24.797,121,1
"07:00",25.041,121.586,1
"07:00",25.017,121.222,1
"07:00",25.034,121.292,1
"07:00",25.127,121.758,1
"07:00",25.103,121.529,1
"07:00",25.069,121.46,1
"07:00",24.994,121.425,1
"07:00",24.836,121.202,1
"07:00",24.196,120.597,1
"07:00",25.085,121.694,1
"07:00",25.082,121.597,1
"07:00",25.039,121.531,1
"07:00",25.055,121.366,1
"07:00",24.137,120.663,1
"07:00",25.048,121.526,1
"07:00",25.008,121.223,1
"07:00",22.971,120.208,1
"07:00",25.033,121.556,1
"07:00",25.05,121.567,1
"07:00",24.996,121.461,1
"07:00",22.62,120.31,1
"07:00",25.027,121.562,1
"07:00",25.062,121.528,1
"07:00",25.006,121.479,1
"07:00",25.042,121.536,1
"07:00",24.11,120.613,1
"07:00",24.947,121.382,1
"07:00",25.081,121.38,1
"07:00",25.094,121.526,1
"07:00",25.122,121.724,1
"07:00",24.931,121.282,1
"07:00",25.051,121.474,1
"07:00",25.073,121.371,1
"07:00",25.046,121.55,1
"07:00",25.046,121.544,1
"07:00",25.025,121.46,1
"07:00",24.79,121.014,1
"07:00",25.007,121.46,1
"07:00",24.972,121.334,1
"07:00",25.046,121.469,1
"07:00",25.183,121.437,1
"07:00",25.085,121.378,1
"07:00",25.033,121.53,1
"07:00",25.199,121.434,1
"07:00",25.03,121.528,1
"07:00",24.988,121.456,1
"07:00",24.933,121.193,1
"07:00",24.115,120.683,1
"07:00",24.174,120.699,1
"07:00",25.036,121.508,1
"07:00",25.085,121.375,1
"07:00",23.996,121.575,1
"07:00",24.959,121.305,1
