iRent平假日,經緯度後三位,小時,想租未租筆數,kepler_time
"假日","22.620,120.301",7,1,"07:00"
"假日","25.052,121.465",7,1,"07:00"
"假日","25.095,121.712",7,1,"07:00"
"假日","25.053,121.285",7,1,"07:00"
"假日","24.984,121.417",7,1,"07:00"
"假日","24.799,120.979",7,1,"07:00"
"假日","23.074,120.257",7,1,"07:00"
"假日","25.029,121.549",7,1,"07:00"
"假日","25.001,121.489",7,1,"07:00"
"假日","25.117,121.528",7,1,"07:00"
"假日","25.074,121.495",7,1,"07:00"
"假日","24.993,121.538",7,1,"07:00"
"假日","25.015,121.542",7,1,"07:00"
"假日","22.978,120.195",7,1,"07:00"
"假日","25.000,121.554",7,1,"07:00"
"假日","25.078,121.586",7,1,"07:00"
"假日","25.083,121.389",7,1,"07:00"
"假日","24.178,120.720",7,1,"07:00"
"假日","25.056,121.468",7,1,"07:00"
"假日","24.058,120.515",7,1,"07:00"
"假日","25.081,121.596",7,1,"07:00"
"假日","25.057,121.290",7,1,"07:00"
"假日","25.113,121.527",7,1,"07:00"
"假日","24.973,121.335",7,1,"07:00"
"假日","25.074,121.479",7,1,"07:00"
"假日","24.954,121.228",7,1,"07:00"
"假日","25.000,121.524",7,1,"07:00"
"假日","25.060,121.491",7,1,"07:00"
"假日","24.803,120.956",7,1,"07:00"
"假日","25.055,121.576",7,1,"07:00"
"假日","25.137,121.788",7,1,"07:00"
"假日","25.056,121.471",7,1,"07:00"
"假日","25.062,121.575",7,1,"07:00"
"假日","25.131,121.499",7,1,"07:00"
"假日","25.038,121.525",7,1,"07:00"
"假日","25.022,121.219",7,1,"07:00"
"假日","24.250,120.720",7,1,"07:00"
"假日","25.023,121.527",7,1,"07:00"
"假日","25.058,121.614",7,1,"07:00"
"假日","24.973,121.253",7,1,"07:00"
"假日","24.743,121.088",7,1,"07:00"
"假日","25.064,121.601",7,1,"07:00"
"假日","25.095,121.400",7,1,"07:00"
"假日","22.630,120.295",7,1,"07:00"
"假日","25.055,121.284",7,1,"07:00"
"假日","23.021,120.222",7,1,"07:00"
"假日","25.052,121.362",7,1,"07:00"
"假日","22.634,120.308",7,1,"07:00"
"假日","25.114,121.528",7,1,"07:00"
"假日","24.773,121.025",7,1,"07:00"
"假日","24.810,121.038",7,1,"07:00"
"假日","22.674,120.301",7,1,"07:00"
"假日","24.911,121.155",7,1,"07:00"
"假日","24.973,121.250",7,1,"07:00"
"假日","22.649,120.295",7,1,"07:00"
"假日","22.983,120.246",7,1,"07:00"
"假日","25.034,121.297",7,1,"07:00"
"假日","24.991,121.541",7,1,"07:00"
"假日","24.156,120.685",7,1,"07:00"
"假日","24.956,121.299",7,1,"07:00"
"假日","24.987,121.468",7,1,"07:00"
"假日","24.932,121.255",7,1,"07:00"
"假日","24.932,121.250",7,1,"07:00"
"假日","25.105,121.510",7,1,"07:00"
"假日","25.008,121.318",7,1,"07:00"
"假日","24.134,120.720",7,1,"07:00"
"假日","22.728,120.301",7,1,"07:00"
"假日","25.070,121.362",7,1,"07:00"
"假日","25.022,121.526",7,1,"07:00"
"假日","25.191,121.439",7,1,"07:00"
"假日","25.136,121.747",7,1,"07:00"
"假日","25.070,121.591",7,1,"07:00"
"假日","25.050,121.464",7,1,"07:00"
"假日","25.064,121.640",7,1,"07:00"
"假日","25.042,121.290",7,1,"07:00"
"假日","25.087,121.462",7,1,"07:00"
"假日","22.991,120.215",7,1,"07:00"
"假日","25.054,121.539",7,1,"07:00"
"假日","24.945,121.380",7,1,"07:00"
"假日","25.075,121.576",7,1,"07:00"
"假日","25.074,121.577",7,1,"07:00"
"假日","22.988,120.194",7,1,"07:00"
"假日","25.139,121.501",7,1,"07:00"
"假日","23.020,120.224",7,1,"07:00"
"假日","25.014,121.214",7,1,"07:00"
"假日","22.612,120.328",7,1,"07:00"
"假日","25.031,121.561",7,1,"07:00"
"假日","25.026,121.562",7,1,"07:00"
"假日","24.777,121.026",7,1,"07:00"
"假日","25.129,121.751",7,1,"07:00"
"假日","25.136,121.494",7,1,"07:00"
"假日","24.152,120.701",7,1,"07:00"
"假日","24.135,120.684",7,1,"07:00"
"假日","24.965,121.430",7,1,"07:00"
"假日","25.124,121.747",7,1,"07:00"
"假日","25.193,121.427",7,1,"07:00"
"假日","25.079,121.493",7,1,"07:00"
"假日","25.097,121.537",7,1,"07:00"
"假日","25.122,121.469",7,1,"07:00"
"假日","22.627,120.311",7,1,"07:00"
"假日","25.029,121.562",7,1,"07:00"
"假日","25.043,121.503",7,1,"07:00"
"假日","24.997,121.492",7,1,"07:00"
"假日","25.019,121.223",7,1,"07:00"
"假日","24.995,121.493",7,1,"07:00"
"假日","24.155,120.685",7,1,"07:00"
"假日","24.810,121.036",7,1,"07:00"
"假日","25.055,121.614",7,1,"07:00"
"假日","25.124,121.530",7,1,"07:00"
"假日","25.194,121.438",7,1,"07:00"
"假日","25.049,121.553",7,1,"07:00"
"假日","25.024,121.510",7,1,"07:00"
"假日","25.037,121.569",7,1,"07:00"
"假日","24.143,120.661",7,1,"07:00"
"假日","25.128,121.749",7,1,"07:00"
"假日","24.916,121.181",7,1,"07:00"
"假日","25.026,121.561",7,1,"07:00"
"假日","23.459,120.322",7,1,"07:00"
"假日","25.008,121.460",7,1,"07:00"
"假日","24.784,121.019",7,1,"07:00"
"假日","24.111,120.616",7,1,"07:00"
"假日","25.141,121.796",7,1,"07:00"
"假日","25.042,121.504",7,1,"07:00"
"假日","22.336,120.447",7,1,"07:00"
"假日","24.095,120.723",7,1,"07:00"
"假日","24.914,121.038",7,1,"07:00"
"假日","24.958,121.236",7,1,"07:00"
"假日","25.064,121.626",7,1,"07:00"
"假日","25.121,121.471",7,1,"07:00"
"假日","24.997,121.443",7,1,"07:00"
"假日","25.048,121.536",7,1,"07:00"
"假日","24.971,121.298",7,1,"07:00"
"假日","25.057,121.463",7,1,"07:00"
"假日","24.110,120.620",7,1,"07:00"
"假日","22.638,120.303",7,1,"07:00"
"假日","24.109,120.623",7,1,"07:00"
"假日","24.967,121.269",7,1,"07:00"
"假日","23.005,120.178",7,1,"07:00"
"假日","25.080,121.583",7,1,"07:00"
"假日","24.155,120.646",7,1,"07:00"
"假日","25.059,121.526",7,1,"07:00"
"假日","25.125,121.382",7,1,"07:00"
"假日","24.138,120.693",7,1,"07:00"
"假日","25.102,121.525",7,1,"07:00"
"假日","22.629,120.295",7,1,"07:00"
"假日","25.112,121.528",7,1,"07:00"
"假日","24.799,120.970",7,1,"07:00"
"假日","22.705,120.294",7,1,"07:00"
"假日","24.953,121.241",7,1,"07:00"
"假日","24.092,120.694",7,1,"07:00"
"假日","25.060,121.293",7,1,"07:00"
"假日","24.975,121.753",7,1,"07:00"
"假日","25.079,121.572",7,1,"07:00"
"假日","24.074,120.546",7,1,"07:00"
"假日","25.005,121.319",7,1,"07:00"
"假日","24.931,121.289",7,1,"07:00"
"假日","22.975,120.223",7,1,"07:00"
"假日","24.946,121.296",7,1,"07:00"
"假日","25.055,121.290",7,1,"07:00"
"假日","22.628,120.305",7,1,"07:00"
"假日","24.818,121.024",7,1,"07:00"
"假日","25.057,121.296",7,1,"07:00"
"假日","24.149,120.718",7,1,"07:00"
"假日","25.002,121.523",7,1,"07:00"
"假日","24.819,121.024",7,1,"07:00"
"假日","25.114,121.529",7,1,"07:00"
"假日","25.042,121.293",7,1,"07:00"
"假日","25.063,121.586",7,1,"07:00"
"假日","25.000,121.492",7,1,"07:00"
"假日","25.113,121.526",7,1,"07:00"
"假日","24.919,121.180",7,1,"07:00"
"假日","24.926,121.283",7,1,"07:00"
"假日","25.063,121.630",7,1,"07:00"
"假日","25.005,121.202",7,1,"07:00"
"假日","25.042,121.581",7,1,"07:00"
"假日","25.037,121.291",7,1,"07:00"
"假日","25.056,121.287",7,1,"07:00"
"假日","25.084,121.524",7,1,"07:00"
"假日","25.093,121.521",7,1,"07:00"
"假日","24.172,120.682",7,1,"07:00"
"假日","25.086,121.523",7,1,"07:00"
"假日","25.025,121.530",7,1,"07:00"
